source,destination,hamming_distance_ups,hamming_distance_downs,hamming_distance_LR,hamming_distance_total,fitts_ratio,normalized_fitts_ratio
3,76,1,0,1,2,0.09813816043294914,0.0671209272482396
3,77,1,1,4,6,1.9445382231849981,1.329953690124403
3,78,1,1,8,10,5.120397803293743,3.5020612463155087
4,0,2,0,0,2,0.0008630459702540567,0.0005902744205286721
4,1,1,0,2,3,1.6549714059883434,1.1319064352663886
4,2,1,1,1,3,0.3437675360285792,0.2351174678054586
4,3,0,0,1,1,0.20833333333333334,0.1424881661563635
4,5,1,0,5,6,0.5714406186234586,0.39083292391158986
4,6,1,0,4,5,1.1607188266190351,0.7938657457349395
4,7,1,1,3,5,0.6193986834901044,0.4236335161448199
4,8,1,0,1,2,5.468181818181818,3.739925757515025
4,9,1,0,2,3,9.34028810408351,6.388226511950194
4,10,1,0,3,4,8.740749459436259,5.978176134275032
4,11,1,0,5,6,0.11971562277674097,0.08187868583867906
4,12,1,0,6,7,0.001547471553042934,0.001058382642106692
4,13,1,0,4,5,0.004486361363011153,0.0030684163359850684
4,14,1,2,23,26,0.24788522352482026,0.16953941240309714
4,15,1,1,5,7,0.47838361041563937,0.32718721616344654
4,16,1,2,1,4,0.8265137627408269,0.5652884657084934
4,17,0,1,0,1,0.05454545454545454,0.037305992593666085
4,18,1,0,3,4,0.4007850811550152,0.27411422993571577
4,19,1,1,4,6,0.003815465363136104,0.002609561580606658
4,20,1,1,23,25,0.00962397637946464,0.006582253178121962
4,21,1,1,24,26,0.6446864473786257,0.44092891023763836
4,22,1,2,27,30,1.1733409160230261,0.8024985379216738
4,23,1,2,28,31,2.0276243070594986,1.3867798520014811
4,24,1,2,25,28,1.1640947547685114,0.7961746888281932
4,25,1,2,26,29,0.9522723806430163,0.6513002169560541
4,26,1,3,23,27,0.9200275089821776,0.6292465563277332
4,27,1,2,31,34,1.211297549519614,0.8284587192035844
4,28,1,2,30,33,1.0936617027851385,0.7480024820414413
4,29,1,1,6,8,0.3761827918525478,0.2572876615231226
4,30,1,2,24,27,3.1611191310025157,2.16202592629606
4,31,1,2,12,15,0.25869925528988763,0.1769355958669105
4,32,1,1,7,9,0.9008721261260297,0.6161453625267945
4,33,1,1,8,10,0.8742355261038303,0.5979274411357365
4,34,1,3,10,14,0.2248649285929469,0.15379483827883508
4,35,1,0,7,8,0.5641021010093729,0.3858137947093309
4,36,1,1,5,7,0.38044466119299325,0.2602025380673695
4,37,1,2,6,9,0.2907031555759425,0.19882444576264363
4,38,1,2,35,38,1.9184133806168695,1.3120857817628522
4,39,1,2,33,36,0.8333668974722173,0.5699756205899253
4,40,1,2,13,16,0.6439814660669781,0.4404467430651367
4,41,1,0,8,9,1.4804005388122163,1.0125098781707769
4,42,0,0,1,1,0.09104258187616189,0.06226795456163944
4,43,1,2,29,32,0.7748548809326752,0.5299567249027406
4,44,1,1,7,9,0.7211973712727858,0.4932580361733566
4,45,1,1,10,12,1.4083732279223198,0.9632472888497737
4,46,1,1,11,13,0.6395015420014422,0.4373827294749704
4,47,1,1,15,17,2.5830757869760625,1.7666771132597983
4,48,1,3,24,28,0.9455953071713099,0.6467334779755354
4,49,1,2,32,35,2.3839078383261074,1.630457549610565
4,50,1,1,13,15,2.047558717095577,1.4004138561428405
4,51,1,1,6,8,0.9220909586971943,0.6306578387238064
4,52,1,2,34,37,2.0211966752396955,1.3823837169419677
4,53,1,2,5,8,0.1628738939050212,0.1113964917949084
4,54,1,3,11,15,0.24966259370976657,0.17075503265062028
4,55,1,2,11,14,0.40279242239296165,0.2754871373205719
4,56,1,1,9,11,1.3472660240817218,0.9214534324616623
4,57,1,0,9,10,3.792540573283297,2.593882326531555
4,58,1,2,4,7,0.2663912396828713,0.18219647626815666
4,59,1,2,3,6,1.080048868988294,0.7386920769667034
4,60,1,2,10,13,0.11487334850876553,0.0785668452924232
4,61,1,1,12,14,1.3245674619322834,0.9059289052853756
4,62,1,2,11,14,0.8511193407692043,0.5821172834228014
4,63,1,2,4,7,1.263095799111226,0.8638857796567926
4,64,1,1,22,24,1.7513234108562774,1.197805733566169
4,65,1,1,21,23,1.3769545101943386,0.9417586705839602
4,66,1,1,20,22,1.3740756691373683,0.9397897068262162
4,67,1,1,19,21,1.0010103843371363,0.6846342430448409
4,68,1,1,18,20,0.8799117335284378,0.6018096445916828
4,69,1,1,17,19,0.6362586077562152,0.4351647466578438
4,70,1,2,9,12,0.42909426813216406,0.2934761057969232
4,71,1,2,8,11,0.2530308939454159,0.17305875868410056
4,72,1,2,7,10,0.2537992563030869,0.17358427489188352
4,73,1,1,16,18,2.5871521014217547,1.7694650807960066
4,74,1,1,14,16,2.421497460698311,1.6561667161305278
4,75,1,0,0,1,0.00897658762545078,0.00613947604364346
4,76,1,0,1,2,0.2184536987439168,0.1494099212356579
4,77,1,1,4,6,1.8490569548554698,1.2646499261569237
4,78,1,1,8,10,4.796833506367756,3.280761646462756
5,0,1,0,0,1,0.0006052228542243757,0.00041393805414888685
5,1,0,0,3,3,0.7543987147025402,0.5159658691616766
5,2,0,1,4,5,2.4826995913324814,1.6980254970533686
5,3,0,1,5,6,2.5417118272644186,1.7383865143912645
5,4,0,1,6,7,2.5455082102317705,1.7409830246970819
5,6,0,0,1,1,0.16074707785617243,0.10994187042585696
5,7,0,1,2,3,0.24606060606060606,0.16829147770031588
5,8,0,0,6,6,2.6682437657358875,1.8249271729817096
5,9,0,0,7,7,5.062519051937936,3.462475468042985
5,10,0,0,8,8,4.938287037012924,3.3775078265170255
5,11,0,0,10,10,0.0820647677586378,0.0561276396670856
5,12,0,0,11,11,0.0011839450854645329,0.0008097511874768657
5,13,0,0,9,9,0.0008757677865790431,0.0005989754202646338
5,14,0,2,28,30,0.07306714308058844,0.049973775474420834
5,15,0,1,10,11,0.3588412657355359,0.24542704270024718
5,16,0,2,4,6,5.958356643311047,4.0751774947726895
5,17,0,2,6,8,5.600029515860823,3.8301020934552805
5,18,0,0,2,2,0.15923307159017897,0.10890637613918183
5,19,0,1,9,10,0.018341605612006515,0.012544616390486754
5,20,0,1,28,29,0.002799940984716973,0.0019150005900401476
5,21,0,1,29,30,0.3723465861661576,0.25466391473951133
5,22,0,2,32,34,0.5583255096784292,0.38186293436350255
5,23,0,2,33,35,1.1034059050812752,0.7546669629174404
5,24,0,2,30,32,0.42106548645134295,0.2879848751817071
5,25,0,2,31,33,0.4032598115797937,0.27580680497551435
5,26,0,3,28,31,0.26241283091182965,0.17947547065212724
5,27,0,2,36,38,0.5822106010953233,0.39819898016096017
5,28,0,2,35,37,0.46927516877390574,0.3209575594622967
5,29,0,1,11,12,0.22805126130346445,0.1559741088613263
5,30,0,2,29,31,1.695711600887054,1.1597704144342451
5,31,0,2,17,19,0.8593941214837193,0.5877767634037164
5,32,0,1,12,13,1.0548930199919149,0.7214869051670211
5,33,0,1,13,14,0.07619791630339764,0.05211504652323458
5,34,0,3,15,18,1.2520157358347288,0.8563076457504027
5,35,0,0,12,12,0.6438269328176326,0.4403410511004516
5,36,0,1,10,11,0.4792121678030752,0.3277539023523635
5,37,0,2,11,13,0.7176331921972283,0.49082034013977704
5,38,0,2,40,42,1.0535058474526804,0.7205381579449828
5,39,0,2,38,40,0.2947489253794587,0.20159152249861392
5,40,0,2,18,20,1.1778923034045035,0.8056114283606527
5,41,0,0,13,13,1.6407849267208845,1.1222036892742182
5,42,0,1,7,8,1.1523355540296987,0.7881320634742507
5,43,0,2,34,36,0.2912086075587787,0.1991701462079929
5,44,0,1,12,13,0.17590141356618952,0.12030657524812047
5,45,0,1,15,16,0.3042237928763444,0.20807179367080164
5,46,0,1,16,17,0.23072157342659672,0.15780045067327936
5,47,0,1,20,21,1.444079963511401,0.9876686677626616
5,48,0,3,29,32,0.29392754811122046,0.20102974710337976
5,49,0,2,37,39,1.3007185023858852,0.8896175716349584
5,50,0,1,18,19,0.8845021407325786,0.6049492223729418
5,51,0,1,11,12,1.2380294882953673,0.8467418468865984
5,52,0,2,39,41,0.8549268974596599,0.5847214359205266
5,53,0,2,10,12,0.8998910979975113,0.6154743950116887
5,54,0,3,16,19,1.0336971305974136,0.7069901207996182
5,55,0,2,16,18,1.6608427861572503,1.1359221257931456
5,56,0,1,14,15,0.18733967504550084,0.12812969637869986
